epochs,loss
0,0.38554771104827523
1,0.16288815485313535
2,0.1481911630835384
3,0.12644798471592367
4,0.12134567671455443
5,0.12770828930661082
6,0.13184924644883722
7,0.08209746179636568
8,0.07139200123492628
9,0.0865486302645877
10,0.06769886333495378
11,0.05781381775159389
12,0.06523128098342568
13,0.08469015615992248
14,0.06288213236257434
15,0.05950373876839876
16,0.06041558168362826
17,0.06557565211551264
18,0.06592604075558484
19,0.057522530551068485
20,0.05867958615999669
21,0.048930119432043284
22,0.05697259114822373
23,0.05059617606457323
24,0.0665265487623401
