epochs,loss
0,0.511267934054617
1,0.16604715594721417
2,0.1292446877416824
3,0.10624200532272939
4,0.10448055514585107
5,0.09728148004280464
6,0.08961623136494909
7,0.08399998534080241
8,0.0722207110375166
9,0.07255510756775978
10,0.07909966331546105
11,0.0662569861123038
12,0.06711247018838842
13,0.06668680279155172
14,0.0533933871230411
15,0.052125170165973324
16,0.058401072871000055
17,0.05046043659169828
18,0.05099629379448391
19,0.053645340650672876
20,0.051361261897029414
21,0.04986038295957711
22,0.05245132454400582
23,0.05238936963160672
24,0.04995135213774178
25,0.046615513815214074
26,0.04835381382896054
27,0.04739518273591755
28,0.04891201847743604
29,0.04340053357619552
30,0.043771243034561556
31,0.04464362483216269
32,0.04159760026771936
33,0.04317540570252364
34,0.04384379194403488
35,0.041870751200364
36,0.04004554077607369
37,0.04029492736463585
38,0.041610838789042204
39,0.040293442708770597
40,0.037740250557450755
41,0.039899236026911006
42,0.036356853888249926
43,0.041374806446143456
44,0.037210677280992026
45,0.03541648062697101
46,0.0379214151086466
47,0.03659994031242546
48,0.03742727943162824
49,0.03688607063715256
