epochs,loss
0,0.23944020854128945
1,0.1300139154848312
2,0.10212589825894083
3,0.09224207429665952
4,0.08265819935308348
5,0.0780951576983376
6,0.06969658835160156
7,0.07089077705337156
8,0.06852095500536022
9,0.06432980748133794
10,0.06105510551752823
11,0.05432258248930016
12,0.055699786674531716
13,0.05513882950969761
14,0.05158853916556484
15,0.04862546227541902
16,0.05192779784556478
17,0.04908419502223091
18,0.04771170466612544
19,0.047170047723357714
20,0.0475580835519659
21,0.04898147272216456
22,0.04330857110495168
23,0.04704824812530029
24,0.0423694756708198
25,0.04777652423663606
26,0.040300297077685114
27,0.04159605949591365
28,0.04023039339470767
29,0.03963108233461577
30,0.04427224612464347
31,0.03701216675671599
32,0.039493558331272535
33,0.038587558361130855
34,0.03753910918960408
35,0.033727403463525395
36,0.03766683466176713
37,0.03362706752734319
38,0.035722710526428156
39,0.03201693605871931
40,0.032097288925621296
41,0.0327704906531219
42,0.03127043248875247
43,0.033529761502699505
44,0.03289938163042309
45,0.03144657089104576
46,0.028768060161852307
47,0.02935134845169922
48,0.029798586627528552
49,0.02920137375833527
