epochs,loss
0,0.395585990935564
1,0.1790961999744177
2,0.12920212224125863
3,0.10253144938498736
4,0.09917337210476398
5,0.09692556543648242
6,0.08695114236325026
7,0.08246046108752489
8,0.08190745337307453
9,0.07675225203484297
10,0.07394335600733758
11,0.07464163031429052
12,0.07137171300500632
13,0.06395583488047123
14,0.0687895193323493
15,0.061856763809919356
16,0.060156614676117895
17,0.05527855084836483
18,0.06251096966117621
19,0.05633072394877672
20,0.06850357084721327
21,0.05730466774106026
22,0.054427007377147674
23,0.05747551146894694
24,0.05928588332235813
25,0.05274465487897396
26,0.0510899772271514
27,0.04779632785171271
28,0.04839627912640571
29,0.04824668784812093
30,0.04966380872577429
31,0.042195672169327736
32,0.045008579209446904
33,0.04626743271946907
34,0.04558427370339632
35,0.04054972890764475
36,0.04289237178117037
37,0.040589809622615575
38,0.04674832597374916
39,0.04230793743953109
40,0.038158498119562866
41,0.040404449090361595
42,0.039583677038550376
43,0.03986339718848467
44,0.036916584707796574
45,0.03530174243450165
46,0.03942431085184216
47,0.03891721704229713
48,0.03916759176552296
49,0.036561459094285965
