epochs,loss
0,0.4731417311836154
1,0.15233478915967769
2,0.14034547593684926
3,0.11195237775363269
4,0.11024440541082332
5,0.10751991380276459
6,0.09002930365292536
7,0.09218682087357005
8,0.08664200737351371
9,0.07772798571104725
10,0.07779614000220693
11,0.07417890862862189
12,0.0818166698163916
13,0.06623053715203799
14,0.054321871206705126
15,0.057068515328630325
16,0.059509882080038226
17,0.05310729984945107
18,0.04917524580753619
19,0.052264935813934335
20,0.05015906700564007
21,0.05111722716490828
22,0.05086299652353891
23,0.0504046521570173
24,0.04860565354371624
25,0.042459390043551405
26,0.051418990813075535
27,0.04906722700463668
28,0.04408675604574983
29,0.041031989186341246
30,0.04308849830375684
31,0.04333832202434179
32,0.0416946635851937
33,0.041456258844494095
34,0.04092964635140473
35,0.03991488676758543
36,0.04113803484717444
37,0.038982791871192954
38,0.044344184184146505
39,0.039421030560568456
40,0.0365531878553391
41,0.03650612239876101
42,0.03693977718226491
43,0.038214532831203074
44,0.035190731880345175
45,0.03414192380789187
46,0.03539158997591585
47,0.03577766629431637
48,0.03327266022472853
49,0.038036452396021735
