epochs,loss
0,0.3736422230899334
1,0.1559189583659172
2,0.1395962156355381
3,0.10816208098828793
4,0.09700943295657635
5,0.10275529980659485
6,0.08392773634195327
7,0.08900140225887299
8,0.10525509598851204
9,0.08931002599000931
10,0.07996204567700624
11,0.07439320561289788
12,0.06944169951230288
13,0.06491359658539295
14,0.06564333227276802
15,0.06271949280798435
16,0.06081294566392899
17,0.060545911841094494
18,0.05534467417746782
19,0.04997451368719339
20,0.04982884937524795
21,0.04865141615271568
22,0.04683060647547245
23,0.04670262211933732
24,0.04722291532158852
25,0.04809835194051266
26,0.04464381508529186
27,0.04744136192649603
28,0.04209527305141091
29,0.04218220873177052
30,0.043248613238334656
31,0.039463391944766044
32,0.04404242595285177
33,0.04163051826879382
34,0.04078291080892086
35,0.045585183743387464
36,0.036283800866454836
37,0.04082570941746235
38,0.03792824946716428
39,0.03654903269931674
40,0.03660366519168019
41,0.03880137014761567
42,0.03491388691216707
43,0.038309363182634115
44,0.037175628181546926
45,0.035417868182063106
46,0.033368508744984864
47,0.03665992636978626
48,0.0353048224337399
49,0.033868715900927784
