epochs,loss
0,0.3149515993538357
1,0.15109025852547753
2,0.15635617846061314
3,0.10313789339529143
4,0.08685264375711245
5,0.07841201020138604
6,0.08103175295723809
7,0.06520159365165801
8,0.06950882284177674
9,0.055699182289933404
10,0.06349072667459647
11,0.05761358845565054
12,0.05008755142371806
13,0.05498654256382632
14,0.061377261366162984
15,0.057785403456479784
16,0.05049792544117996
17,0.05640886700342572
18,0.0460262368359263
19,0.04977210543103634
20,0.049363366609054896
21,0.04303531469925055
22,0.04273511821197139
23,0.049895194965222524
24,0.04772136283535806
