epochs,loss
0,0.2586042520105839
1,0.12045755060017109
2,0.10138964062184096
3,0.08864761769026518
4,0.07244774701446295
5,0.07577268537878991
6,0.06478804179280996
7,0.06836107116937637
8,0.05919998147338629
9,0.062019702658057216
10,0.061371361136436466
11,0.06148473852872848
12,0.05103876050561666
13,0.052461588975042106
14,0.04763244768604636
15,0.04794160787016153
16,0.04182710970193148
17,0.049276273276656866
18,0.04237936566025019
19,0.04360100783780217
20,0.04348661028966307
21,0.046970766559243204
22,0.03934706185385585
23,0.04048962975665927
24,0.04168395833671093
